Risk,Host,Name,Description,Solution,Plugin Output,Category,Reported
Low,10.204.224.1,DHCP Server Detection,"This script contacts the remote DHCP server (if any) and attempts to
retrieve information about the network layout. 

Some DHCP servers provide sensitive information such as the NIS domain
name, or network layout information such as the list of the network
web servers, and so on. 

It does not demonstrate any vulnerability, but a local attacker may
use DHCP to become intimately familiar with the associated network.","Apply filtering to keep this information off the network and remove
any options that are not in use.","
Nessus gathered the following information from the remote DHCP server :

  Master DHCP server of this network : 10.204.224.1
  IP address the DHCP server would attribute us : 10.204.224.210
  DHCP server(s) identifier : 10.204.224.1
  Netmask : 255.255.255.0
  Router : 10.204.224.1
  Domain name server(s) : 10.204.224.18

",,yes
Low,10.204.224.1,SSH Server CBC Mode Ciphers Enabled,"The SSH server is configured to support Cipher Block Chaining (CBC)
encryption.  This may allow an attacker to recover the plaintext message
from the ciphertext. 

Note that this plugin only checks for the options of the SSH server and
does not check for vulnerable software versions.","Contact the vendor or consult product documentation to disable CBC mode
cipher encryption, and enable CTR or GCM cipher mode encryption.","
The following client-to-server Cipher Block Chaining (CBC) algorithms
are supported : 

  3des-cbc
  aes128-cbc
  aes192-cbc
  aes256-cbc
  blowfish-cbc

The following server-to-client Cipher Block Chaining (CBC) algorithms
are supported : 

  3des-cbc
  aes128-cbc
  aes192-cbc
  aes256-cbc
  blowfish-cbc
",inadequate security configuration,yes
Low,10.204.224.1,SSH Weak MAC Algorithms Enabled,"The remote SSH server is configured to allow either MD5 or 96-bit MAC
algorithms, both of which are considered weak.

Note that this plugin only checks for the options of the SSH server,
and it does not check for vulnerable software versions.","Contact the vendor or consult product documentation to disable MD5 and
96-bit MAC algorithms.","
The following client-to-server Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5

The following server-to-client Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5
",inadequate security configuration,yes
Medium,10.204.224.10,SSL Certificate Signed Using Weak Hashing Algorithm,"The remote service uses an SSL certificate chain that has been signed
using a cryptographically weak hashing algorithm (e.g. MD2, MD4, MD5,
or SHA1). These signature algorithms are known to be vulnerable to
collision attacks. An attacker can exploit this to generate another
certificate with the same digital signature, allowing an attacker to
masquerade as the affected service.

Note that this plugin reports all SSL certificate chains signed with
SHA-1 that expire after January 1, 2017 as vulnerable. This is in
accordance with Google's gradual sunsetting of the SHA-1 cryptographic
hash algorithm.

Note that certificates in the chain that are contained in the Nessus
CA database (known_CA.inc) have been ignored.",Contact the Certificate Authority to have the SSL certificate reissued.,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : May 30 10:48:38 2000 GMT
|-Valid To            : May 30 10:48:38 2020 GMT
",ssl related vulnerability,yes
High,10.204.224.10,Microsoft Windows SMB Shares Unprivileged Access,"The remote has one or more Windows shares that can be accessed through
the network with the given credentials. 

Depending on the share rights, it may allow an attacker to read/write
confidential data.","To restrict access under Windows, open Explorer, do a right click on
each share, go to the 'sharing' tab, and click on 'permissions'.","
The following shares can be accessed using a NULL session  :

- IHGR-BACKUP2  - (readable,writable)
  + Content of this share :
..
SERVER_APP

- ITADMIN  - (readable,writable)
  + Content of this share :
..

- IHGR-BACKUP1  - (readable,writable)
  + Content of this share :
..
ROUTERS
SERVER_INFRA
Wi-Fi Controller
PABX
TA

",inadequate security configuration,yes
High,10.204.224.10,Microsoft Windows SMB Shares Unprivileged Access,"The remote has one or more Windows shares that can be accessed through
the network with the given credentials. 

Depending on the share rights, it may allow an attacker to read/write
confidential data.","To restrict access under Windows, open Explorer, do a right click on
each share, go to the 'sharing' tab, and click on 'permissions'.","
The following shares can be accessed using a NULL session  :

- IHGR-BACKUP2  - (readable,writable)
  + Content of this share :
..
SERVER_APP

- ITADMIN  - (readable,writable)
  + Content of this share :
..

- IHGR-BACKUP1  - (readable,writable)
  + Content of this share :
..
ROUTERS
SERVER_INFRA
Wi-Fi Controller
PABX
TA

",inadequate security configuration,yes
Medium,10.204.224.10,IP Forwarding Enabled,"The remote host has IP forwarding enabled. An attacker can exploit
this to route packets through the host and potentially bypass some
firewalls / routers / NAC filtering. 

Unless the remote host is a router, it is recommended that you disable
IP forwarding.","On Linux, you can disable IP forwarding by doing :

echo 0 > /proc/sys/net/ipv4/ip_forward

On Windows, set the key 'IPEnableRouter' to 0 under

HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters

On Mac OS X, you can disable IP forwarding by executing the command :

sysctl -w net.inet.ip.forwarding=0

For other systems, check with your vendor.",,inadequate security configuration,yes
Medium,10.204.224.10,SSL Certificate Cannot Be Trusted,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"
The following certificates were part of the certificate chain
sent by the remote host, but they have expired :

|-Subject   : C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root
|-Not After : May 30 10:48:38 2020 GMT

|-Subject   : C=US/ST=New Jersey/L=Jersey City/O=The USERTRUST Network/CN=USERTrust RSA Certification Authority
|-Not After : May 30 10:48:38 2020 GMT

The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root
|-Issuer  : C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root
",ssl related vulnerability,yes
Medium,10.204.224.10,SSL Self-Signed Certificate,"The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root
",ssl related vulnerability,yes
Medium,10.204.224.10,SMB Signing not required,"Signing is not required on the remote SMB server. An unauthenticated,
remote attacker can exploit this to conduct man-in-the-middle attacks
against the SMB server.","Enforce message signing in the host's configuration. On Windows, this
is found in the policy setting 'Microsoft network server: Digitally
sign communications (always)'. On Samba, the setting is called 'server
signing'. See the 'see also' links for further details.",,inadequate security configuration,yes
