Host,Solution,Risk,Port,Name,Plugin Output,Category
10.204.224.10,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,443,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : May 30 10:48:38 2000 GMT
|-Valid To            : May 30 10:48:38 2020 GMT
",ssl related vulnerability
10.204.224.10,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,443,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.10,Purchase or generate a proper SSL certificate for this service.,Medium,443,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root
",ssl related vulnerability
10.204.224.10,Purchase or generate a proper SSL certificate for this service.,Medium,443,ssl certificate cannot be trusted,"
The following certificates were part of the certificate chain
sent by the remote host, but they have expired :

|-Subject   : C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root
|-Not After : May 30 10:48:38 2020 GMT

|-Subject   : C=US/ST=New Jersey/L=Jersey City/O=The USERTRUST Network/CN=USERTrust RSA Certification Authority
|-Not After : May 30 10:48:38 2020 GMT

The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root
|-Issuer  : C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root
",ssl related vulnerability
10.204.224.17,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,6200,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : C=US/ST=OR/L=Portland/O=ORACLE DEMO CA/OU=DO NOT USE COMMERCIALLY/CN=GET A REAL CERTIFICATE!!!/E=FOR TEST PURPOSES ONLY
|-Signature Algorithm : MD5 With RSA Encryption
|-Valid From          : Oct 09 00:00:19 2001 GMT
|-Valid To            : Feb 24 00:00:19 2029 GMT

|-Subject             : C=US/ST=OR/L=Portland/O=ORACLE DEMO CERTIFICATE/OU=NOT FOR COMMERCIAL USE/CN=GET A REAL CERTIFICATE!!!/E=FOR TEST PURPOSES ONLY
|-Signature Algorithm : MD5 With RSA Encryption
|-Valid From          : Oct 09 00:04:42 2001 GMT
|-Valid To            : Feb 24 00:04:42 2029 GMT
",ssl related vulnerability
10.204.224.17,"Reconfigure the service to remove support for EXPORT_RSA cipher
suites.",Medium,6200,ssl/tls export_rsa <= 512-bit cipher suites supported (freak),"
EXPORT_RSA cipher suites supported by the remote server :

  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP-DES-CBC-SHA               0x00, 0x08       RSA(512)      RSA      DES-CBC(40)            SHA1      export
    EXP-RC4-MD5                   0x00, 0x03       RSA(512)      RSA      RC4(40)                MD5       export

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.17,"Disable SSLv3.

Services that must support SSLv3 should enable the TLS Fallback SCSV
mechanism until SSLv3 can be disabled.",Medium,6200,sslv3 padding oracle on downgraded legacy encryption vulnerability (poodle),"
Nessus determined that the remote server supports SSLv3 with at least one CBC 
cipher suite, indicating that this server is vulnerable.

It appears that TLSv1 or newer is not supported on the server. Mitigating this 
vulnerability requires SSLv3 to be disabled and TLSv1 or newer to be enabled.
",ssl related vulnerability
10.204.224.17,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,443,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : C=NG/ST=Lagos/L=VI/O=Current-link/OU=IT Department/CN=ROOT CA
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : Apr 12 09:54:02 2017 GMT
|-Valid To            : Apr 13 09:54:02 2027 GMT

|-Subject             : C=NG/ST=AK/O=Le Meridien Ibom/OU=IT Department/CN=PMS01936A
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : May 10 11:49:26 2017 GMT
|-Valid To            : May 11 11:49:26 2027 GMT
",ssl related vulnerability
10.204.224.17,Purchase or generate a proper SSL certificate for this service.,Medium,6200,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=US/ST=OR/L=Portland/O=ORACLE DEMO CA/OU=DO NOT USE COMMERCIALLY/CN=GET A REAL CERTIFICATE!!!/E=FOR TEST PURPOSES ONLY
",ssl related vulnerability
10.204.224.17,"Reconfigure the affected application, if possible to avoid the use of
weak ciphers.",Medium,6200,ssl weak cipher suites supported,"
Here is the list of weak SSL ciphers supported by the remote server :

  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP-DES-CBC-SHA               0x00, 0x08       RSA(512)      RSA      DES-CBC(40)            SHA1      export
    EXP-RC4-MD5                   0x00, 0x03       RSA(512)      RSA      RC4(40)                MD5       export
    DES-CBC-SHA                   0x00, 0x09       RSA           RSA      DES-CBC(56)            SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
