Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
10107,,,None,172.24.100.21,tcp,80,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

Microsoft-IIS/10.0",,,,,None,,IAVT:0001-T-0931,,1/4/2000,10/30/2020,,,
10107,,,None,172.24.100.21,tcp,95,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

Microsoft-IIS/10.0",,,,,None,,IAVT:0001-T-0931,,1/4/2000,10/30/2020,,,
10107,,,None,172.24.100.21,tcp,109,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

Microsoft-IIS/10.0",,,,,None,,IAVT:0001-T-0931,,1/4/2000,10/30/2020,,,
10107,,,None,172.24.100.21,tcp,111,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

Microsoft-IIS/10.0",,,,,None,,IAVT:0001-T-0931,,1/4/2000,10/30/2020,,,
10107,,,None,172.24.100.21,tcp,120,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

Microsoft-IIS/10.0",,,,,None,,IAVT:0001-T-0931,,1/4/2000,10/30/2020,,,
10107,,,None,172.24.100.21,tcp,136,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

Microsoft-IIS/10.0",,,,,None,,IAVT:0001-T-0931,,1/4/2000,10/30/2020,,,
10107,,,None,172.24.100.21,tcp,180,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

Microsoft-IIS/10.0",,,,,None,,IAVT:0001-T-0931,,1/4/2000,10/30/2020,,,
10114,CVE-1999-0524,0,None,172.24.100.21,icmp,0,ICMP Timestamp Request Remote Date Disclosure,It is possible to determine the exact time set on the remote host.,"The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).",,"This host returns non-standard timestamps (high bit is set)
The ICMP timestamps might be in little endian format (not in network format)
The remote clock is synchronized with the local clock.
",,0,,,None,,CWE:200,,8/1/1999,10/4/2019,,,
10150,,,None,172.24.100.21,tcp,445,Windows NetBIOS / SMB Remote Host Information Disclosure,It was possible to obtain the network name of the remote host.,"The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.",n/a,,"The following 2 NetBIOS names have been gathered :

 P-AXECRDTAPP01   = Computer name
 SKYEBANK         = Workgroup / Domain name
",,,,,None,,,,10/12/1999,2/10/2021,,,
10287,,,None,172.24.100.21,udp,0,Traceroute Information,It was possible to obtain traceroute information.,Makes a traceroute to the remote host.,n/a,,"For your information, here is the traceroute from 10.90.6.171 to 172.24.100.21 : 
10.90.6.171
10.90.6.254
10.90.111.13
172.19.22.2
192.168.200.21
172.40.15.75
172.40.16.83
172.40.16.2
192.168.135.13
172.24.100.21

Hop Count: 9
",,,,,None,,,,11/27/1999,8/20/2020,,,
10662,,,None,172.24.100.21,tcp,109,Web mirroring,Nessus can crawl the remote website.,"This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.",n/a,,"
Webmirror performed 6 queries in 1s (6.000 queries per second)

The following CGIs have been discovered :

Directory index found at /
",,,,,None,,,,5/4/2001,7/12/2021,,,
10662,,,None,172.24.100.21,tcp,111,Web mirroring,Nessus can crawl the remote website.,"This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.",n/a,,"
Webmirror performed 36 queries in 3s (12.000 queries per second)

The following CGIs have been discovered :

Directory index found at /
Directory index found at /Docs/
Directory index found at /logs/
Directory index found at /Properties/
Directory index found at /docs/
Directory index found at /Properties/DataSources/
",,,,,None,,,,5/4/2001,7/12/2021,,,
10662,,,None,172.24.100.21,tcp,120,Web mirroring,Nessus can crawl the remote website.,"This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.",n/a,,"
Webmirror performed 8 queries in 1s (8.000 queries per second)

The following CGIs have been discovered :

Directory index found at /
",,,,,None,,,,5/4/2001,7/12/2021,,,
